"","ETH.group","tot_births","mbirths","fbirths","year"
"428","OBL",5985.16305577213,3065.57132124914,2919.59173452299,"2046"
"429","OTH",6558.64582788467,3359.30639964825,3199.33942823643,"2046"
"430","PAK",67960.3607287308,34808.9652513011,33151.3954774297,"2046"
"431","WBI",469663.537038631,240559.372629543,229104.164409088,"2046"
"432","WHO",42203.4957412423,21616.4246479534,20587.0710932889,"2046"
"433","BAN",21657.8139626236,11093.0266637828,10564.7872988408,"2047"
"434","BLA",36374.4010716271,18630.7907927846,17743.6102788425,"2047"
"435","BLC",6821.03446785824,3493.70058109812,3327.33388676012,"2047"
"436","CHI",6793.40476455461,3479.54878184505,3313.85598270957,"2047"
"437","IND",38663.5929563932,19803.3037093721,18860.2892470211,"2047"
"438","MIX",55468.8682979117,28410.883762345,27057.9845355667,"2047"
"439","OAS",22609.7463536787,11580.6017909086,11029.1445627701,"2047"
"440","OBL",5971.04284770615,3058.33901955681,2912.70382814934,"2047"
"441","OTH",6482.34163105429,3320.22376224732,3162.11786880697,"2047"
"442","PAK",69204.9773716156,35446.451824486,33758.5255471296,"2047"
"443","WBI",468985.678816817,240212.176954955,228773.501861862,"2047"
"444","WHO",42056.6681941541,21541.2202945668,20515.4478995874,"2047"
"445","BAN",21766.4960334668,11148.6930903123,10617.8029431546,"2048"
"446","BLA",36311.2009396198,18598.4199934638,17712.780946156,"2048"
"447","BLC",6823.52166909137,3494.97451343704,3328.54715565433,"2048"
"448","CHI",6681.8852532448,3422.42903214977,3259.45622109502,"2048"
"449","IND",38817.4373082175,19882.1020359163,18935.3352723012,"2048"
"450","MIX",55581.4957884408,28468.5710135916,27112.9247748492,"2048"
"451","OAS",22710.5812756914,11632.2489460858,11078.3323296056,"2048"
"452","OBL",5959.18804188058,3052.26704584127,2906.92099603931,"2048"
"453","OTH",6408.68307672603,3282.49621003041,3126.18686669563,"2048"
"454","PAK",70453.2678319094,36085.8201090268,34367.4477228827,"2048"
"455","WBI",468259.703839979,239840.33611316,228419.367726819,"2048"
"456","WHO",41894.4899177588,21458.1533725106,20436.3365452482,"2048"
"457","BAN",21869.7251847861,11201.5665580612,10668.1586267249,"2049"
"458","BLA",36207.0623987311,18545.0807408135,17661.9816579176,"2049"
"459","BLC",6824.43903269128,3495.44438259797,3328.99465009331,"2049"
"460","CHI",6557.85459511117,3358.90113408133,3198.95346102984,"2049"
"461","IND",38942.1958217088,19946.0027379484,18996.1930837604,"2049"
"462","MIX",55682.1480423233,28520.1246070436,27162.0234352797,"2049"
"463","OAS",22806.225114612,11681.2372538257,11124.9878607863,"2049"
"464","OBL",5948.99493636372,3047.046186918,2901.94874944572,"2049"
"465","OTH",6336.90988831557,3245.73433303968,3091.17555527589,"2049"
"466","PAK",71704.0119227427,36726.4451311609,34977.5667915818,"2049"
"467","WBI",467498.566248894,239450.485151872,228048.081097021,"2049"
"468","WHO",41717.1686624685,21367.3302905326,20349.8383719358,"2049"
"469","BAN",21967.4616769524,11251.6267125854,10715.834964367,"2050"
"470","BLA",36060.2118935685,18469.8646284131,17590.3472651553,"2050"
"471","BLC",6823.01293703292,3494.71394335832,3328.29899367459,"2050"
"472","CHI",6420.53393790506,3288.56616331723,3131.96777458783,"2050"
"473","IND",39042.6982717491,19997.4796026032,19045.2186691459,"2050"
"474","MIX",55767.498011101,28563.8404447103,27203.6575663907,"2050"
"475","OAS",22895.877937608,11727.1569924334,11168.7209451746,"2050"
"476","OBL",5939.14837311883,3042.00282525598,2897.14554786284,"2050"
"477","OTH",6265.42022881112,3209.11767817155,3056.30255063957,"2050"
"478","PAK",72958.0550472233,37368.7599022363,35589.295144987,"2050"
"479","WBI",466709.709889672,239046.436772759,227663.273116913,"2050"
"480","WHO",41522.526850728,21267.6357040314,20254.8911466966,"2050"
"481","BAN",22059.2135065303,11298.6215521253,10760.591954405,"2051"
"482","BLA",35868.3067726701,18371.5717616115,17496.7350110586,"2051"
"483","BLC",6818.802524453,3492.55739057349,3326.24513387951,"2051"
"484","CHI",6270.93638400335,3211.94302595294,3058.99335805042,"2051"
"485","IND",39122.8619821237,20038.5390640146,19084.3229181091,"2051"
"486","MIX",55835.5194316654,28598.6806845115,27236.8387471539,"2051"
